";EGM-4 Data"																		
";SoftwareVersion=1.05"																		
";Plot"	"RecNo"	"Day"	"Month"	"Hour"	"Min"	"CO2 Ref"	"mb Ref"	"mbR Temp"	"Input A"	"Input B"	"Input C"	"Input D"	"Input E"	"Input F"	"Input G"	"Input H"	"ATMP"	"Probe Type"
5	3	20	8	9	56	415	14.2	20.5	0	58.8	0	0	0	0	0	0	971	8
5	4	20	8	9	56	418	14.2	20.5	0	58.8	0	0	4	0	0	0	971	8
5	5	20	8	9	56	417	14.2	20.5	0	58.8	0	0	9	0	0	0	971	8
5	6	20	8	9	56	418	14.2	20.5	0	58.8	0	2	14	0.25	0	0	971	8
5	7	20	8	9	56	421	14.2	20.6	0	58.8	0	5	19	0.34	0	0	971	8
5	8	20	8	9	56	423	14.3	20.6	0	58.8	0	7	24	0.4	0	0	971	8
5	9	20	8	9	56	424	14.3	20.6	0	58.8	0	9	28	0.39	0	0	971	8
5	10	20	8	9	56	424	14.3	20.6	0	58.8	0	9	33	0.37	0	0	971	8
5	11	20	8	9	57	425	14.3	20.6	0	58.8	0	10	38	0.33	0	0	971	8
5	12	20	8	9	57	425	14.3	20.6	0	58.8	0	10	43	0.3	0	0	971	8
5	13	20	8	9	57	425	14.3	20.6	0	58.8	0	10	48	0.27	0	0	971	8
5	14	20	8	9	57	425	14.3	20.7	0	58.8	0	10	52	0.25	0	0	971	8
5	15	20	8	9	57	426	14.3	20.6	0	58.8	0	10	57	0.23	0	0	971	8
5	16	20	8	9	57	427	14.3	20.7	0	58.8	0	11	62	0.22	0	0	971	8
5	17	20	8	9	57	428	14.3	20.7	0	58.8	0	11	67	0.22	0	0	971	8
5	18	20	8	9	57	429	14.3	20.7	0	58.8	0	12	72	0.22	0	0	971	8
5	19	20	8	9	57	430	14.3	20.7	0	58.8	0	13	76	0.22	0	0	971	8
5	20	20	8	9	57	432	14.3	20.7	0	58.8	0	14	81	0.22	0	0	971	8
5	21	20	8	9	57	433	14.4	20.7	0	58.8	0	15	86	0.22	0	0	971	8
5	22	20	8	9	57	435	14.4	20.7	0	58.8	0	16	91	0.23	0	0	971	8
5	23	20	8	9	57	436	14.3	20.7	0	58.8	0	18	96	0.23	0	0	971	8
5	24	20	8	9	58	436	14.3	20.8	0	58.8	0	19	100	0.23	0	0	971	8
5	25	20	8	9	58	436	14.3	20.8	0	58.8	0	20	105	0.23	0	0	971	8
5	26	20	8	9	58	436	14.3	20.8	0	58.8	0	20	110	0.23	0	0	971	8
5	27	20	8	9	58	436	14.3	20.8	0	58.7	0	21	115	0.23	0	0	971	8
5	28	20	8	9	58	436	14.3	20.8	0	58.7	0	21	120	0.22	0	0	971	8
