treatment,collar,Month,Day,CO2 (ppm),Sample Time (seconds)
Control,4,7,20,412,19
Control,4,7,20,414,24
Control,4,7,20,417,28
Control,4,7,20,419,33
Control,4,7,20,420,38
Control,4,7,20,422,43
Control,4,7,20,426,48
Control,4,7,20,428,52
Control,4,7,20,431,57
Control,4,7,20,433,62
Control,4,7,20,435,67
Control,4,7,20,436,72
Control,4,7,20,438,76
Control,4,7,20,439,81
Control,4,7,20,441,86
Control,4,7,20,442,91
Control,4,7,20,444,96
Control,4,7,20,446,100
Control,4,7,20,448,105
Control,4,7,20,449,110
Control,4,7,20,451,115
Control,4,7,20,452,120
Control,4,7,20,453,124
Control,5,7,20,429,0
Control,5,7,20,430,4
Control,5,7,20,431,9
Control,5,7,20,431,14
Control,5,7,20,432,19
Control,5,7,20,432,24
Control,5,7,20,433,28
Control,5,7,20,433,33
Control,5,7,20,433,38
Control,5,7,20,433,43
Control,5,7,20,433,48
Control,5,7,20,433,52
Control,5,7,20,432,57
Control,5,7,20,432,62
Control,5,7,20,433,67
Control,5,7,20,433,72
Control,5,7,20,434,76
Control,5,7,20,435,81
Control,5,7,20,435,86
Control,5,7,20,436,91
Control,5,7,20,437,96
Control,5,7,20,437,100
Control,5,7,20,437,105
Control,5,7,20,437,110
Control,5,7,20,437,115
Control,5,7,20,438,120
Control,5,7,20,438,124
Control,6,7,20,439,0
Control,6,7,20,439,4
Control,6,7,20,439,9
Control,6,7,20,439,14
Control,6,7,20,439,19
Control,6,7,20,439,24
Control,6,7,20,439,28
Control,6,7,20,438,33
Control,6,7,20,439,38
Control,6,7,20,439,43
Control,6,7,20,439,48
Control,6,7,20,439,52
Control,6,7,20,439,57
Control,6,7,20,439,62
Control,6,7,20,439,67
Control,6,7,20,439,72
Control,6,7,20,439,76
Control,6,7,20,439,81
Control,6,7,20,439,86
Control,6,7,20,439,91
Control,6,7,20,439,96
Control,6,7,20,439,100
Control,6,7,20,440,105
Control,6,7,20,439,110
Control,6,7,20,439,115
Control,6,7,20,439,120
Control,6,7,20,439,124
Control,2,7,20,425,0
Control,2,7,20,425,4
Control,2,7,20,425,9
Control,2,7,20,425,14
Control,2,7,20,424,19
Control,2,7,20,425,24
Control,2,7,20,425,28
Control,2,7,20,425,33
Control,2,7,20,425,38
Control,2,7,20,424,43
Control,2,7,20,425,48
Control,2,7,20,425,52
Control,2,7,20,425,57
Control,2,7,20,425,62
Control,2,7,20,425,67
Control,2,7,20,425,72
Control,2,7,20,425,76
Control,2,7,20,425,81
Control,2,7,20,425,86
Control,2,7,20,425,91
Control,2,7,20,425,96
Control,2,7,20,425,100
Control,2,7,20,425,105
Control,2,7,20,425,110
Control,2,7,20,425,115
Control,2,7,20,425,120
Control,2,7,20,425,124
Control,1,7,20,408,0
Control,1,7,20,409,4
Control,1,7,20,409,9
Control,1,7,20,410,14
Control,1,7,20,415,19
Control,1,7,20,414,24
Control,1,7,20,415,28
Control,1,7,20,415,33
Control,1,7,20,418,38
Control,1,7,20,424,43
Control,1,7,20,424,48
Control,1,7,20,426,52
Control,1,7,20,429,57
Control,1,7,20,431,62
Control,1,7,20,433,67
Control,1,7,20,436,72
Control,1,7,20,437,76
Control,1,7,20,438,81
Control,1,7,20,439,86
Control,1,7,20,438,91
Control,1,7,20,438,96
Control,1,7,20,439,100
Control,1,7,20,440,105
Control,1,7,20,441,110
Control,1,7,20,444,115
Control,1,7,20,446,120
Control,1,7,20,447,124
Control,3,7,20,414,0
Control,3,7,20,416,4
Control,3,7,20,417,9
